SourceYear,borough_district,language,ProgramRows
2024-2025,Queens-25,Spanish,10
2024-2025,Queens-25,Korean,1
2024-2025,Queens-26,Chinese,3
2024-2025,Queens-27,Spanish,10
2024-2025,Queens-27,Bengali,1
2024-2025,Queens-28,Spanish,7
2024-2025,Queens-28,Bengali,1
2024-2025,Queens-29,Spanish,3
2024-2025,Queens-30,Spanish,32
2024-2025,Queens-75,Spanish,5
2024-2025,Queens-75,Chinese,1
2024-2025,Queens-79,Spanish,1
2024-2025,Staten Island-31,Spanish,14
2024-2025,Staten Island-75,Spanish,1
